,Time,Modelled Vertical Force,Modelled North Force,Modelled East Force,Inversed Vertical Force,Inversed North Force,Inversed East Force
258,-100.0,,,,185549171.0357151,-292118968.15753305,631649476.5603487
259,-98.0,,,,89505848.14670944,-258675458.8959797,476309327.8242037
260,-96.0,,,,11340675.642445326,-176879723.08148277,337213298.72327805
261,-94.0,,,,-25668179.84650421,-69300635.67382145,235346055.92325807
262,-92.0,,,,-8101112.101343155,29893020.636855245,129973724.7381916
263,-90.0,,,,-3966068.5659594536,112245036.13221692,-30962008.80157185
264,-88.0,,,,-39374471.65363854,216354587.1036316,-283256202.7885457
265,-86.0,,,,-56438849.366639614,290713242.06842065,-575675348.2400033
266,-84.0,,,,-64578791.88637638,241674136.32705292,-762698789.3370551
267,-82.0,,,,-105955792.06320097,119421215.00027502,-723253973.7186303
268,-80.0,,,,-123677082.37766647,27019058.6470682,-483487746.5968223
269,-78.0,,,,-63715138.67263794,-30345729.52433628,-182974759.1962544
270,-76.0,,,,4997978.297348022,-89526449.18466514,43493722.26285792
271,-74.0,,,,18035525.505583525,-144734638.98023915,133468943.81954026
272,-72.0,,,,19385503.131002903,-189287041.68385828,127397166.93133724
273,-70.0,,,,18305159.395804405,-232444641.88526607,114872340.0387075
274,-68.0,,,,-21343316.2448287,-234983881.14264524,136372062.5668347
275,-66.0,,,,-23212342.021719456,-156294017.04220772,191963302.1479404
276,-64.0,,,,63362643.858044624,-33956215.6046381,253634436.1213863
277,-62.0,,,,124166741.48404215,69211390.34211737,256359373.84616733
278,-60.0,,,,104854522.38077544,127302222.09708989,173849555.50346148
279,-58.0,,,,74800830.76307106,131180371.16336286,68843668.61325169
280,-56.0,,,,15591667.511172771,83028523.10759664,16523192.824437976
281,-54.0,,,,-81903805.71184134,29925131.659723848,24080161.618736625
282,-52.0,,,,-91227712.97434188,20818480.09170842,51967165.22922087
283,-50.0,,,,11407670.536768556,48247820.14217472,57806194.66725278
284,-48.0,,,,115653912.7963252,71608177.08940887,6058325.662016839
285,-46.0,,,,189803096.6991904,72535827.59823239,-102159150.1843202
286,-44.0,,,,204755470.51203728,66524939.20909214,-224763267.14947867
287,-42.0,,,,89217025.47459936,56364341.629333615,-326455755.113616
288,-40.0,,,,-119746657.24222088,25781189.70254284,-373082171.3484473
289,-38.0,,,,-325793736.63938737,-13882786.62737155,-322604605.57186085
290,-36.0,,,,-479240182.0811052,-27757717.347666264,-200457419.99796897
291,-34.0,,,,-506522632.3550719,1267094.8814923763,-98495933.11247563
292,-32.0,,,,-318952471.3706579,46527154.33208275,-53057975.35712004
293,-30.0,,,,3903600.6172189713,76860311.54917526,-37393910.82955325
294,-28.0,,,,268821136.4366646,99015129.05614102,-33788092.82163572
295,-26.0,,,,389355981.09840393,110191868.19623578,6185480.533573747
296,-24.0,,,,353894385.71554446,97791943.03446507,137051181.81319988
297,-22.0,,,,174475422.20687443,59371585.78035879,311239928.6809857
298,-20.0,,,,-17627309.445061922,-39093886.29236436,442708109.2604586
299,-18.0,,,,-80240367.59501553,-206882128.14256117,507718256.5752173
300,-16.0,,,,-12336056.106381416,-368372794.0809182,484501078.2722967
301,-14.0,,,,111108205.71762931,-440907214.744496,348127235.92991614
302,-12.0,,,,203560254.10800263,-379181134.486225,141934383.45023274
303,-10.0,,,,186842810.71339703,-172128433.57017136,-91303522.1985619
304,-8.0,,,,35289965.99568367,119174929.81733193,-337993739.40912414
305,-6.0,,,,-170324984.7309326,349981207.6336211,-501538495.0827148
306,-4.0,,,,-248402422.24924088,368062797.047181,-444646768.8226028
307,-2.0,,,,-149821522.32613683,199237721.4189168,-235045452.70950723
308,0.0,,,,-18289880864.207176,18084672793.514957,-36956473286.00879
309,4.0,,,,-9156269567.715952,8497934997.898191,-19194316392.4226
310,6.0,,,,-8441426494.132423,20099215735.32004,-37453187564.56729
311,8.0,,,,-8446102395.971462,26075059313.25717,-35839070477.04564
312,10.0,,,,-7460125360.921425,42362006230.44807,-42635034266.204926
313,12.0,,,,-1018407517.6065426,55539273483.34329,-58177068870.500885
314,14.0,,,,-3341178215.563572,65650930670.201744,-59568438316.24182
315,16.0,,,,-5149258666.24457,77395562271.18568,-50810381452.67943
316,18.0,,,,-1324103288.1285305,77472179126.0618,-44078949995.27828
317,20.0,,,,-4093632117.714386,72512114235.15137,-30114823016.30529
318,22.0,,,,-1228555770.0352075,70952188538.13326,-3279115765.2403526
319,24.0,,,,15568216738.73424,57470099238.39279,24926830632.83739
320,26.0,,,,31885884361.37529,48194133214.691925,45237974860.02137
321,28.0,,,,45451183527.25531,65666358284.42211,58694458187.07973
322,30.0,,,,65891904607.23859,88491430720.12335,56584829398.4364
323,32.0,,,,80486070471.61807,90305175653.5722,31976440056.23742
324,34.0,,,,61942648446.98983,55401280236.99562,6651585919.430065
325,36.0,,,,20207487530.83382,-14355432392.882532,5827649676.314072
326,38.0,,,,-14589691110.619106,-70473968858.87747,30442123165.318783
327,40.0,,,,-51295290378.158165,-66669930197.05563,30263802217.438595
328,42.0,,,,-93722419169.7887,-17385159702.508644,-14518608684.630735
329,44.0,,,,-104836633329.33012,46367009827.89455,-31385651197.611115
